customer_id,churn_probability,churn_prediction,segment
1,0.51,1,Dormant
2,0.73,1,At Risk
3,0.83,1,At Risk
4,0.65,1,At Risk
5,0.86,1,At Risk
6,0.52,1,Dormant
7,0.86,1,At Risk
8,0.82,1,At Risk
9,0.42,0,Dormant
10,0.8,1,At Risk
11,0.22,0,Loyal
12,0.24,0,Loyal
13,0.85,1,At Risk
14,0.46,0,Dormant
15,0.49,0,Dormant
16,0.33,0,Dormant
17,0.29,0,Loyal
18,0.63,1,At Risk
19,0.55,1,Dormant
20,0.5,0,Dormant
21,0.26,0,Loyal
22,0.29,0,Loyal
23,0.14,0,Loyal
24,0.52,1,Dormant
25,0.31,0,Dormant
26,0.52,1,Dormant
27,0.55,1,Dormant
28,0.38,0,Dormant
29,0.84,1,At Risk
30,0.85,1,At Risk
31,0.49,0,Dormant
32,0.74,1,At Risk
33,0.5,0,Dormant
34,0.13,0,Loyal
35,0.17,0,Loyal
36,0.35,0,Dormant
37,0.72,1,At Risk
38,0.54,1,Dormant
39,0.88,1,At Risk
40,0.32,0,Dormant
41,0.46,0,Dormant
42,0.47,0,Dormant
43,0.14,0,Loyal
44,0.26,0,Loyal
45,0.31,0,Dormant
46,0.84,1,At Risk
47,0.16,0,Loyal
48,0.15,0,Loyal
49,0.51,1,Dormant
50,0.25,0,Loyal
51,0.16,0,Loyal
52,0.55,1,Dormant
53,0.12,0,Loyal
54,0.51,1,Dormant
55,0.82,1,At Risk
56,0.87,1,At Risk
57,0.2,0,Loyal
58,0.62,1,At Risk
59,0.87,1,At Risk
60,0.76,1,At Risk
61,0.36,0,Dormant
62,0.12,0,Loyal
63,0.76,1,At Risk
64,0.78,1,At Risk
65,0.72,1,At Risk
66,0.36,0,Dormant
67,0.27,0,Loyal
68,0.15,0,Loyal
69,0.25,0,Loyal
70,0.71,1,At Risk
71,0.24,0,Loyal
72,0.46,0,Dormant
73,0.26,0,Loyal
74,0.18,0,Loyal
75,0.39,0,Dormant
76,0.44,0,Dormant
77,0.16,0,Loyal
78,0.47,0,Dormant
79,0.27,0,Loyal
80,0.83,1,At Risk
81,0.2,0,Loyal
82,0.11,0,Loyal
83,0.27,0,Loyal
84,0.11,0,Loyal
85,0.3,0,Dormant
86,0.88,1,At Risk
87,0.58,1,Dormant
88,0.4,0,Dormant
89,0.53,1,Dormant
90,0.78,1,At Risk
91,0.66,1,At Risk
92,0.43,0,Dormant
93,0.84,1,At Risk
94,0.2,0,Loyal
95,0.83,1,At Risk
96,0.41,0,Dormant
97,0.19,0,Loyal
98,0.33,0,Dormant
99,0.54,1,Dormant
100,0.12,0,Loyal
101,0.31,0,Dormant
102,0.28,0,Loyal
103,0.24,0,Loyal
104,0.45,0,Dormant
105,0.59,1,Dormant
106,0.29,0,Loyal
107,0.39,0,Dormant
108,0.68,1,At Risk
109,0.24,0,Loyal
110,0.82,1,At Risk
111,0.63,1,At Risk
112,0.28,0,Loyal
113,0.2,0,Loyal
114,0.32,0,Dormant
115,0.73,1,At Risk
116,0.61,1,At Risk
117,0.17,0,Loyal
118,0.55,1,Dormant
119,0.49,0,Dormant
120,0.25,0,Loyal
121,0.8,1,At Risk
122,0.88,1,At Risk
123,0.83,1,At Risk
124,0.83,1,At Risk
125,0.58,1,Dormant
126,0.25,0,Loyal
127,0.89,1,At Risk
128,0.75,1,At Risk
129,0.37,0,Dormant
130,0.43,0,Dormant
131,0.84,1,At Risk
132,0.12,0,Loyal
133,0.37,0,Dormant
134,0.63,1,At Risk
135,0.82,1,At Risk
136,0.46,0,Dormant
137,0.54,1,Dormant
138,0.54,1,Dormant
139,0.5,0,Dormant
140,0.27,0,Loyal
141,0.78,1,At Risk
142,0.77,1,At Risk
143,0.78,1,At Risk
144,0.64,1,At Risk
145,0.29,0,Loyal
146,0.36,0,Dormant
147,0.14,0,Loyal
148,0.44,0,Dormant
149,0.62,1,At Risk
150,0.48,0,Dormant
151,0.6,1,Dormant
152,0.81,1,At Risk
153,0.77,1,At Risk
154,0.32,0,Dormant
155,0.19,0,Loyal
156,0.37,0,Dormant
157,0.16,0,Loyal
158,0.16,0,Loyal
159,0.67,1,At Risk
160,0.61,1,At Risk
161,0.14,0,Loyal
162,0.89,1,At Risk
163,0.41,0,Dormant
164,0.26,0,Loyal
165,0.11,0,Loyal
166,0.75,1,At Risk
167,0.63,1,At Risk
168,0.69,1,At Risk
169,0.24,0,Loyal
170,0.62,1,At Risk
171,0.22,0,Loyal
172,0.7,1,At Risk
173,0.73,1,At Risk
174,0.67,1,At Risk
175,0.15,0,Loyal
176,0.49,0,Dormant
177,0.83,1,At Risk
178,0.89,1,At Risk
179,0.39,0,Dormant
180,0.85,1,At Risk
181,0.5,0,Dormant
182,0.62,1,At Risk
183,0.75,1,At Risk
184,0.79,1,At Risk
185,0.55,1,Dormant
186,0.56,1,Dormant
187,0.34,0,Dormant
188,0.72,1,At Risk
189,0.84,1,At Risk
190,0.64,1,At Risk
191,0.3,0,Dormant
192,0.61,1,At Risk
193,0.31,0,Dormant
